order_item_id,order_id,product_id,quantity,unit_price,item_total,customer_id,order_date,status,customer_name,city,state,signup_date,product_name,category,price,order_month,is_valid_sale
23,367,288,4,2785.9,11143.6,724,2024-11-23 09:42:53,delivered,Apollo Garcia,Aragão,RO,2023-04-22,Tênis 304,Pet,2726.19,2024-11,True
24,9218,176,5,3113.97,15569.85,179,2024-01-04 09:19:42,delivered,Pedro Miguel Ferreira,Porto das Pedras,RR,2023-02-10,Óculos 523,Mercado,3397.91,2024-01,True
25,1060,52,4,179.01,716.04,2764,2024-10-09 17:16:30,canceled,Sra. Isis Moura,Cavalcante do Galho,PR,2021-10-31,Almofada 350,Eletrônicos,175.25,2024-10,False
26,1123,248,2,1221.74,2443.48,903,2024-12-12 09:32:00,shipped,Elisa Azevedo,Machado,MA,2022-02-12,Coleira 327,Moda,1253.16,2024-12,True
27,4544,294,3,2828.67,8486.01,1543,2025-09-23 13:33:12,delivered,Davi Lucca Costela,Lopes do Amparo,CE,2023-11-13,Livro 192,Casa,2731.65,2025-09,True
28,9897,50,2,2682.6,5365.2,362,2024-08-17 07:42:07,shipped,Júlia Novais,Carvalho do Campo,RN,2025-08-23,Mouse 790,Pet,2533.88,2024-08,True
29,1644,174,4,509.84,2039.36,452,2024-04-03 21:06:48,shipped,Antonella Silveira,Oliveira,PE,2023-07-08,Cafeteira 163,Pet,541.69,2024-04,True
30,2914,142,5,2297.99,11489.95,2692,2025-04-26 11:20:05,delivered,Ester Pacheco,Camargo da Prata,AL,2021-03-25,Panela 326,Pet,2244.17,2025-04,True
31,5511,126,5,211.48,1057.4,2266,2025-03-03 17:01:35,paid,Sarah Barros,Almeida Alegre,RN,2025-12-02,Livro 192,Eletrônicos,210.75,2025-03,True
32,7290,244,4,2201.65,8806.6,2092,2025-10-27 01:49:45,delivered,Vitor Hugo Nascimento,Abreu,PR,2023-06-22,Liquidificador 960,Casa,2306.79,2025-10,True
33,5231,180,5,1357.3,6786.5,1412,2024-11-12 11:49:54,canceled,Maria Luiza Pastor,Cidade não informada,PR,2023-08-22,Livro 180,Esporte,1390.89,2024-11,False
34,5926,19,3,2956.01,8868.03,564,2024-07-16 03:02:47,shipped,Luara Jesus,Nascimento,MS,2021-01-19,Liquidificador 968,Eletrônicos,2967.04,2024-07,True
35,4315,156,2,2681.58,5363.16,626,2025-11-07 02:58:54,paid,Carlos Eduardo Caldeira,Viana,MA,2024-12-15,Sabonete 264,Brinquedos,2565.97,2025-11,True
36,7077,157,5,1969.54,9847.7,1622,2024-04-13 11:46:42,shipped,Juliana Mendonça,Sá de Fernandes,RN,2023-03-07,Boneca 446,Moda,2085.2,2024-04,True
37,1669,242,3,1937.27,5811.81,2638,2025-03-10 11:05:32,paid,Maria Fernanda Barbosa,Leão do Sul,MA,2023-04-16,Mochila 802,Beleza,1878.2,2025-03,True
38,2863,211,2,122.85,245.7,2271,2024-06-03 23:22:53,shipped,Isabelly Rodrigues,da Costa de Vieira,CE,2021-07-18,Monitor 682,Mercado,115.88,2024-06,True
39,4353,2,5,354.8,1774.0,1823,2024-10-23 06:12:04,delivered,Maria Clara Fogaça,Barbosa,CE,2025-09-10,Jaqueta 771,Brinquedos,332.83,2024-10,True
40,3949,28,3,2056.55,6169.65,1624,2024-06-16 03:41:45,delivered,Maria Liz Garcia,Fogaça,MT,2022-04-10,Relógio 117,Moda,2061.96,2024-06,True
41,5898,58,5,768.35,3841.75,2557,2025-11-25 05:31:55,paid,Guilherme Souza,Cirino,AP,2025-10-19,Sabonete 283,Eletrônicos,792.8,2025-11,True
42,835,238,1,103.02,103.02,2418,2024-11-02 05:41:39,delivered,Luiz Miguel Pacheco,Gonçalves do Norte,MS,2023-08-17,Fone 838,Casa,103.71,2024-11,True
43,5457,57,3,1631.58,4894.74,2619,2024-06-27 07:33:29,delivered,Lavínia Monteiro,Rios,RR,2021-10-06,Carrinho 222,Livros,1764.61,2024-06,True
44,3748,237,3,2296.03,6888.09,2848,2024-12-30 21:56:36,delivered,Srta. Aurora Azevedo,Casa Grande,MT,2022-03-12,Óculos 513,Pet,2316.95,2024-12,True
45,1176,135,3,2126.39,6379.17,393,2025-02-19 02:19:00,delivered,Dra. Mariah Freitas,Machado das Flores,MG,2021-12-02,Mochila 910,Brinquedos,2242.84,2025-02,True
46,2834,275,3,2564.9,7694.7,1132,2024-08-28 06:12:15,paid,Isabela Correia,Moura,AM,2022-03-11,Mochila 316,Casa,2573.26,2024-08,True
47,8200,188,3,1358.86,4076.58,2667,2024-02-27 23:12:03,delivered,Bernardo da Cunha,Campos de Lima,MS,2024-08-30,Mochila 189,Moda,1367.53,2024-02,True
48,3658,206,3,2153.59,6460.77,855,2025-05-29 05:35:33,delivered,Fernanda Oliveira,Vasconcelos,MA,2025-11-26,Cafeteira 719,Brinquedos,2264.76,2025-05,True
49,7993,139,3,653.11,1959.33,2214,2024-01-10 16:02:22,paid,Nicole Santos,Teixeira,AM,2025-01-25,Liquidificador 230,Esporte,634.31,2024-01,True
50,5388,49,3,884.82,2654.46,804,2024-04-19 00:23:28,shipped,Srta. Stephany Campos,Garcia,RS,2021-08-22,Camiseta 261,Livros,904.08,2024-04,True
51,5146,240,2,130.19,260.38,2544,2025-06-12 06:22:11,paid,Pietro Lopes,Aparecida Paulista,SC,2025-08-15,Shampoo 854,Brinquedos,1764.61,2025-06,True
52,8789,122,3,121.47,364.41,2443,2025-03-23 03:59:33,pending,Srta. Zoe Pacheco,Brito,SE,2022-09-02,Óculos 705,Livros,113.3,2025-03,True
53,290,191,5,1780.87,8904.35,2896,2024-02-10 10:20:04,paid,Maria Julia da Mata,Mendes,ES,2021-11-15,Webcam 701,Pet,1836.13,2024-02,True
54,9795,177,3,226.89,680.67,1971,2025-06-12 11:44:42,paid,Alana Martins,Aragão de Barros,AL,2025-09-15,Carrinho 666,Sem categoria,227.53,2025-06,True
55,8218,250,1,1999.02,1999.02,1189,2024-02-22 08:17:16,shipped,Evelyn Pacheco,Viana,SP,2023-05-12,Panela 366,Livros,2055.71,2024-02,True
56,2546,210,5,1746.43,8732.15,358,2025-01-22 12:23:55,paid,Sra. Luiza Mendes,Novais Paulista,MA,2021-01-31,Teclado 826,Esporte,1781.18,2025-01,True
57,1927,135,2,2300.29,4600.58,2011,2024-12-23 10:50:05,delivered,Vitor Oliveira,Moreira,RN,2025-07-12,Mochila 910,Brinquedos,2242.84,2024-12,True
58,3497,211,3,108.18,324.54,1405,2024-09-21 13:10:09,shipped,Sofia Fogaça,Aragão,SP,2021-11-25,Monitor 682,Mercado,115.88,2024-09,True
59,299,228,4,804.23,3216.92,2623,2025-01-18 23:41:40,delivered,Vitor Gabriel Abreu,da Mata da Prata,MS,2023-10-05,Almofada 570,Livros,893.22,2025-01,True
60,9715,53,4,606.95,2427.8,1342,2024-11-18 07:18:04,paid,Marina Sousa,Rodrigues Grande,MS,2024-10-08,Perfume 253,Brinquedos,638.68,2024-11,True
61,8073,50,5,2409.46,12047.3,866,2024-08-08 02:50:17,canceled,Sra. Melina Pires,Cardoso,PE,2021-10-11,Mouse 790,Pet,2533.88,2024-08,False
62,4024,251,3,210.97,632.91,2919,2024-09-05 19:01:15,paid,Dr. Rael Novais,Alves,SC,2025-08-01,Bicicleta 581,Moda,202.06,2024-09,True
63,5233,64,5,2749.4,13747.0,2320,2025-04-18 19:21:17,delivered,Léo Casa Grande,Farias da Praia,TO,2021-11-10,Carrinho 891,Informática,1764.61,2025-04,True
64,8491,175,2,2575.33,5150.66,2243,2024-09-08 04:10:21,pending,Marcelo Oliveira,Cunha de Teixeira,PA,2021-12-28,Webcam 187,Moda,2343.47,2024-09,True
65,6109,256,4,3400.98,13603.92,339,2025-06-01 23:11:51,paid,João Siqueira,Teixeira das Flores,MS,2022-09-25,Panela 683,Brinquedos,3126.57,2025-06,True
66,417,19,2,2743.12,5486.24,1810,2024-08-27 03:04:44,shipped,Yuri Costa,da Costa,GO,2025-04-30,Liquidificador 968,Eletrônicos,2967.04,2024-08,True
67,1276,199,4,1283.01,5132.04,2392,2024-01-21 21:26:57,delivered,Hellena Vasconcelos,Costa,SC,2024-03-17,Ração 139,Brinquedos,1394.34,2024-01,True
68,512,179,1,3159.05,3159.05,2971,2024-06-28 10:29:15,delivered,Maria Eduarda Fernandes,da Rocha,DF,2025-08-28,Fone 686,Informática,3087.56,2024-06,True
69,578,54,4,2779.15,11116.6,184,2025-12-18 20:34:58,delivered,Luiz Gustavo Câmara,Pinto,GO,2025-09-17,Almofada 666,Eletrônicos,2813.86,2025-12,True
70,4419,236,5,2863.0,14315.0,1241,2025-10-02 23:26:19,paid,Srta. Ana Luiza Fonseca,Fernandes,DF,2024-03-29,Relógio 158,Beleza,2821.92,2025-10,True
71,7086,18,5,2522.69,12613.45,2885,2024-07-30 08:31:26,paid,Agatha Rezende,Silva,AM,2025-11-15,Boneca 714,Pet,2528.31,2024-07,True
72,5122,92,3,375.78,1127.34,419,2024-03-10 22:47:45,paid,José Pedro Novaes,da Rocha Grande,DF,2022-07-09,Mochila 355,Mercado,345.12,2024-03,True
73,2558,51,1,165.03,165.03,1285,2024-10-17 05:57:28,paid,Maria Clara Rios,Gonçalves,TO,2021-06-09,Jaqueta 102,Mercado,168.47,2024-10,True
74,3873,187,5,1147.02,5735.1,2474,2024-11-23 15:28:06,delivered,Dr. Yago Ramos,da Paz,MT,2022-04-15,Luminária 364,Pet,1129.33,2024-11,True
75,6584,300,2,2938.99,5877.98,1837,2025-08-06 18:57:35,shipped,Benjamim Cunha,Teixeira,RO,2021-08-19,Sabonete 109,Eletrônicos,2984.22,2025-08,True
76,7020,181,4,2205.55,8822.2,1009,2024-11-01 03:57:05,canceled,Sr. Anthony Porto,Sales,MA,2023-07-20,Almofada 614,Eletrônicos,2005.7,2024-11,False
77,5834,123,5,1926.93,9634.65,1379,2025-06-28 04:06:04,shipped,Ana Beatriz Azevedo,Lopes do Campo,RN,2025-04-04,Webcam 681,Livros,1979.17,2025-06,True
78,947,209,4,2521.23,10084.92,1641,2024-02-12 20:54:11,delivered,Esther Souza,Oliveira,MS,2021-02-21,Perfume 627,Eletrônicos,2773.34,2024-02,True
79,8821,66,2,91.11,182.22,517,2024-08-27 02:04:22,paid,Henry Gabriel Moreira,Albuquerque de Albuquerque,RR,2023-09-13,Monitor 519,Eletrônicos,98.33,2024-08,True
80,3501,139,2,669.72,1339.44,1651,2024-01-26 01:29:28,unknown,Letícia Ribeiro,Almeida,PI,2025-11-08,Liquidificador 230,Esporte,634.31,2024-01,False
81,3177,177,5,242.1,1210.5,2909,2024-05-18 08:18:17,pending,Davi Miguel da Conceição,Aparecida do Oeste,PB,2024-08-23,Carrinho 666,Sem categoria,227.53,2024-05,True
82,3106,4,1,1669.9,1669.9,334,2024-11-13 07:02:38,shipped,Dr. Gabriel Teixeira,Monteiro,PE,2022-04-28,Monitor 331,Pet,1825.26,2024-11,True
83,5078,240,2,149.43,298.86,2166,2024-04-06 12:27:26,canceled,Enzo Porto,Silva Grande,TO,2023-03-11,Shampoo 854,Brinquedos,1764.61,2024-04,False
84,3715,253,4,1806.75,7227.0,774,2025-08-23 09:36:55,paid,Dr. Henry Gabriel Vargas,Carvalho dos Dourados,PE,2025-11-28,Teclado 299,Informática,1759.16,2025-08,True
85,3687,208,3,1942.45,5827.35,1061,2024-07-17 08:12:50,delivered,Antony Casa Grande,Ribeiro de Lopes,BA,2021-03-10,Bola 877,Informática,1815.01,2024-07,True
86,9303,246,4,2952.31,11809.24,2956,2025-07-17 00:48:23,canceled,Srta. Ana Cecília Pires,Aragão de Jesus,DF,2021-01-08,Monitor 842,Esporte,2832.08,2025-07,False
87,1025,227,3,3304.23,9912.69,1907,2024-12-22 04:31:50,shipped,Rafael Monteiro,Freitas,RN,2023-12-10,Liquidificador 533,Esporte,3135.76,2024-12,True
88,3212,267,1,2657.26,2657.26,644,2025-10-13 00:13:50,delivered,Alexia Melo,Ramos,CE,2023-07-26,Smartphone 331,Beleza,2431.93,2025-10,True
89,3741,27,3,1793.7,5381.1,2671,2024-08-21 13:21:02,paid,Renan Gomes,Lima,RR,2022-09-17,Fone 881,Casa,1656.49,2024-08,True
90,9187,224,2,3410.88,6821.76,360,2025-07-20 00:08:01,delivered,João Pedro Silva,Ferreira,PB,2021-08-22,Smartphone 585,Eletrônicos,3191.63,2025-07,True
91,8416,200,2,897.64,1795.28,2041,2024-10-11 07:41:39,delivered,Henrique Sá,Fernandes,SC,2021-02-28,Sabonete 807,Livros,842.96,2024-10,True
92,6801,176,2,3181.45,6362.9,2352,2025-04-25 14:04:22,shipped,Kevin Castro,da Mata de Goiás,DF,2025-09-23,Óculos 523,Mercado,3397.91,2025-04,True
93,4333,242,1,1994.57,1994.57,2472,2025-05-20 23:08:12,delivered,Luiz Henrique Araújo,Ribeiro de Santos,SP,2022-12-21,Mochila 802,Beleza,1878.2,2025-05,True
94,8571,73,4,2647.34,10589.36,2561,2025-12-03 20:45:31,delivered,Dra. Ana Liz Macedo,Montenegro,AC,2025-08-07,Jaqueta 522,Mercado,2457.45,2025-12,True
95,1699,220,1,1481.77,1481.77,2273,2025-05-21 01:47:21,delivered,Sr. Joaquim Martins,Abreu,SC,2021-07-07,Teclado 128,Esporte,1362.18,2025-05,True
96,3214,65,2,2885.03,5770.06,662,2025-12-08 07:49:00,shipped,Guilherme Fernandes,Nunes dos Dourados,BA,2022-04-21,Mochila 878,Mercado,2788.97,2025-12,True
97,2727,39,3,2225.95,6677.85,2161,2024-01-31 09:15:15,shipped,Henrique Borges,Casa Grande,CE,2022-08-23,Ração 416,Sem categoria,2336.29,2024-01,True
98,1354,82,1,1177.11,1177.11,1507,2025-09-29 23:21:36,shipped,Maria Fernanda Dias,Porto de Goiás,AL,2021-09-11,Camiseta 577,Informática,1109.41,2025-09,True
99,8955,300,5,2977.79,14888.95,2254,2025-10-27 16:12:40,delivered,Dr. João Vitor Sá,Machado dos Dourados,AC,2024-07-14,Sabonete 109,Eletrônicos,2984.22,2025-10,True
100,5016,76,4,2130.6,8522.4,373,2025-11-10 10:03:03,delivered,Francisco Albuquerque,Vieira da Mata,RJ,2021-05-04,Shampoo 706,Moda,1993.86,2025-11,True
101,4328,164,3,1709.21,5127.63,1534,2025-01-31 19:29:11,shipped,Ana Beatriz Carvalho,Farias,RJ,2022-03-04,Carrinho 960,Mercado,1725.95,2025-01,True
102,3519,194,2,2958.29,5916.58,2582,2024-03-23 01:14:58,delivered,Luiz Gustavo Caldeira,Duarte,RR,2025-09-15,Mouse 676,Moda,2731.71,2024-03,True
103,5195,192,3,556.51,1669.53,195,2025-01-29 02:36:42,shipped,Sr. Benício Porto,Sampaio de da Rosa,RS,2025-05-17,Bola 524,Moda,536.5,2025-01,True
104,1793,147,5,272.59,1362.95,2429,2025-09-05 03:47:19,delivered,Gabriela da Luz,Ferreira de Fernandes,SE,2023-08-31,Tênis 809,Beleza,251.26,2025-09,True
105,8722,50,3,2684.54,8053.62,1773,2024-12-16 15:02:09,shipped,Laís Caldeira,Casa Grande do Sul,ES,2024-02-15,Mouse 790,Pet,2533.88,2024-12,True
106,7376,44,2,2926.5,5853.0,796,2025-09-12 03:18:08,delivered,Marcos Vinicius Gomes,Caldeira,AC,2022-10-08,Mochila 850,Esporte,3104.16,2025-09,True
107,5540,262,2,2357.6,4715.2,2063,2025-01-27 22:56:47,delivered,Dra. Sophia Viana,Cunha das Flores,TO,2025-07-15,Óculos 232,Moda,2156.46,2025-01,True
108,8846,30,1,953.84,953.84,1664,2024-10-24 01:22:47,delivered,Melina Freitas,Campos,AM,2024-04-28,Notebook 618,Brinquedos,1013.41,2024-10,True
109,7027,111,5,1746.26,8731.3,726,2025-02-08 20:37:05,paid,Diogo Araújo,Costela da Prata,AL,2023-02-21,Livro 679,Livros,1765.84,2025-02,True
110,8800,155,3,1273.83,3821.49,274,2025-07-19 08:48:38,pending,Rael Moraes,Lopes,AP,2022-05-05,Cafeteira 175,Moda,1764.61,2025-07,True
111,4263,255,4,3778.36,15113.44,392,2024-10-25 08:57:03,delivered,Nicolas Cirino,Vargas,RS,2022-05-10,Notebook 240,Casa,3473.33,2024-10,True
112,1221,69,3,2414.3,7242.9,933,2024-11-12 13:48:14,paid,Benjamin Vargas,Ferreira das Pedras,PA,2024-04-06,Fone 969,Brinquedos,2587.22,2024-11,True
113,3981,268,3,353.83,1061.49,2799,2025-12-09 20:22:11,paid,Rebeca Gonçalves,Guerra,PA,2023-05-15,Perfume 232,Esporte,372.94,2025-12,True
114,1597,137,1,1378.05,1378.05,1247,2025-07-14 10:41:10,delivered,Amanda Cavalcanti,Pereira Alegre,BA,2021-11-05,Boneca 905,Sem categoria,1258.54,2025-07,True
115,8876,95,2,2186.34,4372.68,1180,2025-10-12 18:58:08,paid,Dra. Daniela Castro,Camargo,AL,2021-08-02,Shampoo 802,Livros,2211.59,2025-10,True
116,27,200,5,760.59,3802.95,2287,2025-11-23 21:14:19,canceled,Renan Silva,Rocha de da Rocha,BA,2021-09-07,Sabonete 807,Livros,842.96,2025-11,False
117,6470,247,3,3388.51,10165.53,972,2025-10-14 23:02:22,delivered,Mathias Mendonça,Carvalho de Castro,DF,2025-03-19,Relógio 796,Casa,3150.08,2025-10,True
118,758,240,5,149.36,746.8,587,2025-08-20 16:10:22,delivered,Sra. Cecília Nunes,Monteiro,PI,2025-10-20,Shampoo 854,Brinquedos,1764.61,2025-08,True
119,7917,6,4,1632.87,6531.48,1216,2025-12-06 17:21:30,pending,Valentina Nascimento,Leão,PB,2024-11-05,Luminária 980,Moda,1486.76,2025-12,True
120,3887,56,4,3166.36,12665.44,2601,2024-07-23 09:54:47,delivered,Arthur Rezende,Barros da Praia,PB,2021-10-12,Bola 377,Livros,2893.6,2024-07,True
121,9892,194,3,2537.42,7612.26,2644,2025-05-28 10:05:07,delivered,Maria Flor Alves,Monteiro,PA,2022-06-04,Mouse 676,Moda,2731.71,2025-05,True
122,7910,2,1,331.71,331.71,69,2024-06-07 13:10:13,delivered,Mateus Andrade,Câmara de Costa,TO,2025-07-18,Jaqueta 771,Brinquedos,332.83,2024-06,True
123,1537,214,4,1217.03,4868.12,2656,2024-11-20 00:00:20,canceled,Eloah Aparecida,Montenegro Grande,RN,2024-11-23,Webcam 380,Beleza,1298.71,2024-11,False
124,8940,76,5,1811.14,9055.7,2325,2024-11-21 07:07:18,shipped,Lunna Novais,Cunha,RN,2021-05-18,Shampoo 706,Moda,1993.86,2024-11,True
125,809,265,3,3057.89,9173.67,2231,2025-06-23 03:34:47,paid,Asafe Campos,Marques de Fonseca,AL,2021-12-15,Tênis 114,Livros,3123.64,2025-06,True
126,9410,53,2,638.81,1277.62,707,2024-02-25 16:02:36,pending,Liz Moraes,Rezende,RO,2021-10-17,Perfume 253,Brinquedos,638.68,2024-02,True
127,2652,23,4,385.57,1542.28,106,2024-12-05 18:07:09,pending,Vitor Hugo Aragão,Câmara de Minas,SP,2025-05-03,Jaqueta 495,Informática,407.91,2024-12,True
128,6564,153,3,280.27,840.81,1200,2024-05-22 05:26:51,shipped,Lavínia Novaes,Aparecida de da Rosa,TO,2023-01-10,Jaqueta 562,Casa,271.88,2024-05,True
129,1789,220,5,1353.26,6766.3,2667,2025-12-29 05:50:54,delivered,Bernardo da Cunha,Campos de Lima,MS,2024-08-30,Teclado 128,Esporte,1362.18,2025-12,True
130,5291,43,2,1285.08,2570.16,2470,2024-05-06 21:40:35,pending,Melissa Camargo,Fernandes,ES,2024-07-05,Mochila 270,Esporte,1310.96,2024-05,True
131,4099,11,5,1933.33,9666.65,1663,2024-11-23 02:37:50,canceled,Aurora Vasconcelos,Rezende de Garcia,GO,2021-03-05,Monitor 643,Moda,1978.07,2024-11,False
132,7972,17,1,337.33,337.33,2085,2024-01-02 03:08:05,shipped,Thales Fernandes,Nunes,PE,2022-01-14,Jaqueta 760,Esporte,308.61,2024-01,True
133,5510,118,1,3346.79,3346.79,309,2025-05-12 09:07:45,shipped,Laura Sales,Costa de Campos,BA,2021-08-16,Suplemento 882,Eletrônicos,3487.43,2025-05,True
134,2022,231,5,2353.96,11769.8,1737,2024-05-17 00:59:46,delivered,Lucas Fonseca,Souza Verde,PE,2024-08-16,Caderno 674,Livros,2270.99,2024-05,True
135,6124,36,5,2566.21,12831.05,1450,2025-07-04 03:36:46,delivered,Luiza Rodrigues,Porto Paulista,SP,2021-06-24,Carrinho 417,Moda,2449.89,2025-07,True
136,6507,294,5,2513.03,12565.15,321,2025-10-24 19:08:16,shipped,Lorenzo Santos,Ferreira,PE,2024-09-23,Livro 192,Casa,2731.65,2025-10,True
137,7612,73,1,2496.56,2496.56,2354,2024-06-03 00:06:00,canceled,Giovanna Garcia,Machado,PB,2021-05-26,Jaqueta 522,Mercado,2457.45,2024-06,False
138,1932,237,3,2213.74,6641.22,718,2024-11-18 09:08:39,paid,Luna Montenegro,Leão de Goiás,GO,2023-12-05,Óculos 513,Pet,2316.95,2024-11,True
139,4080,127,4,1689.48,6757.92,15,2025-03-13 01:42:20,pending,Levi Guerra,Azevedo do Oeste,RJ,2022-12-24,Ração 120,Beleza,1849.67,2025-03,True
140,5586,71,2,3553.8,7107.6,36,2025-03-23 17:25:32,delivered,Olívia da Cruz,Jesus de Correia,AM,2021-10-28,Jaqueta 603,Brinquedos,3364.73,2025-03,True
141,2304,206,2,2398.78,4797.56,1997,2024-01-06 08:49:12,paid,Srta. Bella Cavalcanti,Sá das Pedras,AP,2025-01-11,Cafeteira 719,Brinquedos,2264.76,2024-01,True
142,411,58,5,780.66,3903.3,2858,2025-02-22 21:02:56,paid,Manuela Campos,Viana,TO,2024-04-07,Sabonete 283,Eletrônicos,792.8,2025-02,True
143,4528,262,5,2137.27,10686.35,2121,2025-06-09 03:25:10,shipped,Emanuel Nascimento,Silva de Goiás,MA,2022-03-04,Óculos 232,Moda,2156.46,2025-06,True
144,9888,6,2,1380.18,2760.36,2596,2024-09-30 04:04:15,delivered,Alexandre Duarte,Pinto do Amparo,PI,2022-04-25,Luminária 980,Moda,1486.76,2024-09,True
145,6031,102,5,1316.58,6582.9,2954,2025-11-18 18:31:17,delivered,Clarice da Mata,Duarte,MS,2023-10-14,Fone 276,Brinquedos,1764.61,2025-11,True
146,4884,119,2,3615.7,7231.4,1480,2024-11-11 08:10:39,delivered,Ana Júlia da Rocha,Guerra do Campo,RN,2021-09-20,Jaqueta 966,Pet,3439.59,2024-11,True
147,5933,43,4,1180.98,4723.92,976,2025-03-17 04:31:58,delivered,Ana Cecília Pereira,Silveira Alegre,MG,2023-10-29,Mochila 270,Esporte,1310.96,2025-03,True
148,5346,123,1,2131.72,2131.72,2220,2024-08-12 07:41:54,delivered,Augusto Cunha,Lopes de Minas,MT,2025-01-02,Webcam 681,Livros,1979.17,2024-08,True
149,4157,246,4,2725.31,10901.24,2027,2024-01-13 09:25:57,delivered,Dr. Joaquim da Rocha,Pereira,MG,2025-11-30,Monitor 842,Esporte,2832.08,2024-01,True
150,5656,294,1,2577.41,2577.41,610,2024-03-02 07:25:31,shipped,Matteo Oliveira,Cassiano de Aragão,MS,2021-06-11,Livro 192,Casa,2731.65,2024-03,True
151,1336,14,3,3375.78,10127.34,1489,2025-06-05 16:52:29,delivered,Luigi da Rocha,Albuquerque do Galho,RJ,2022-05-09,Bicicleta 188,Beleza,3139.63,2025-06,True
152,1449,25,2,513.65,1027.3,2399,2024-06-13 23:21:04,delivered,Sra. Agatha Barbosa,Santos da Prata,RO,2022-10-11,Smartphone 424,Livros,474.96,2024-06,True
153,1422,279,5,2779.24,13896.2,1617,2025-06-05 09:13:51,shipped,Nicolas Macedo,Porto,CE,2024-12-28,Notebook 769,Moda,2928.88,2025-06,True
